PC1,PC2,Class
0.36593110378183846,0.4106892301305204,0
0.19537609012993537,-0.02003873728762408,0
0.07946654876676011,1.4068445401393874,0
0.06065611100296555,1.4176912084126534,0
0.2874794189755983,-1.004732237467836,0
0.1797152472050881,6.047776271422336,0
0.4770032927820196,1.1888434983933487,0
0.5458698964714822,0.40221134761709515,0
0.5469178999818839,-1.0496722461292802,0
0.3149929410008862,0.3970587157707808,0
0.44338010564544345,0.2099794441071887,0
0.2868712003938859,-0.6622532301876588,0
0.11927238265847123,1.070117417500992,0
0.26730222292218764,-0.5981771579893246,0
0.5296070000373678,0.05066059940958703,0
0.052351943047058674,-0.03155114725726351,0
0.2728945124229459,-0.03996701904459582,0
0.6757517189996805,-0.6562235233896129,0
0.2346905231263423,2.5458530346152455,0
0.5743558965061173,-0.04235813952801403,0
0.7695290753075397,-0.2037122504875061,0
0.0646020979907869,0.47567101769383874,0
0.3581648184129668,-0.08391571455051472,0
0.36251775321659796,-0.3143189528768881,0
0.5079997896013965,-0.029594244724483455,0
0.6770394713121297,0.18302975632613364,0
0.29698924133626553,-0.8768155155601899,0
0.06877322947978852,-0.5176658244778949,0
0.5944830966933885,-0.6184426444805929,0
0.36704865563552225,0.5728005198081705,0
0.3834061267635567,-0.13077325115633265,0
0.8502987044897804,-0.3152254458796577,0
0.15656260781079773,-0.22802342455294283,0
0.31446473869188013,-0.7862303147148123,0
0.38910699873139265,-0.9276598071227745,0
0.6096539306084581,-0.043876700104365826,0
0.581936497418682,0.018160480578062525,0
0.35813222385806986,-0.04649875382048397,0
0.26833814341730816,-0.41061288931424417,0
0.30245996061795727,-0.8702526479412901,0
0.047437645344285975,-0.13608939029427045,0
0.39633771566885223,0.07511224911407494,0
0.13220336316540757,-0.14101467586025457,0
0.23150342996008408,-0.3211400037868254,0
0.2560972578171704,-0.13500523075655294,0
0.4132353943884869,-0.16019525655759076,0
0.12008709143906887,-0.5133958752700168,0
0.07762357274224473,-1.0729711287009096,0
0.5149562819056579,-0.0018956677542355247,0
0.12824583293806338,-0.6297700260244136,0
0.411600492605298,-0.8893812809928704,0
0.2190462891267313,-0.5942647805799091,0
0.4000873827854973,-0.22183932586396268,0
0.346897275912454,-0.8417257017003745,0
0.3489483444897376,-0.012154380096759981,0
